"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Rost%"
"Luis Medina","ATH","SP,RP","67.2","61","4","0","4.58","1.41","34","64","31","9","36","6","4","0","0%"
"Tyler Alexander","TEX","SP,RP","69.2","58","4","1","4.56","1.28","35","70","19","11","53","2","4","0","4%"
"Mitchell Parker","WSH","SP,RP","47.9","37","3","0","4.59","1.37","24","49","16","7","27","4","3","0","0%"
"Ryan Fernandez","STL","RP","43.8","45","2","0","4.11","1.35","20","40","20","5","42","0","2","0","0%"
"Yohan Ramirez","PIT","RP","51.9","53","3","0","4.13","1.34","24","47","22","5","49","0","3","0","1%"
"Ryan Brasier","TEX","RP","37.0","32","2","0","4.03","1.23","17","34","11","4","37","0","2","0","0%"
"Andrew Alvarez","WSH","SP","69.4","50","3","0","4.44","1.41","34","71","27","8","28","10","4","0","0%"
"JT Brubaker","SF","RP","55.9","46","2","0","4.35","1.35","27","55","21","7","48","0","3","0","0%"
"Yuki Matsui","SD","RP","46.9","47","2","0","4.19","1.33","22","41","21","6","47","0","2","0","0%"
"Michael Kelly","ATH","RP","57.7","49","3","3","4.63","1.41","30","56","25","8","56","0","3","0","0%"
"Tim Hill","NYY","RP","64.1","37","3","0","4.10","1.34","29","67","19","6","64","0","3","0","3%"
"Joel Peguero","SF","RP","42.2","35","2","3","4.49","1.43","21","42","18","5","41","0","2","0","0%"
"Caleb Kilian","SF","SP,RP","35.7","27","2","0","4.37","1.37","17","37","12","4","34","0","2","0","6%"
"Eric Orze","MIN","RP","58.4","59","3","1","4.16","1.35","27","53","26","7","55","0","3","0","0%"
"Jackson Jobe","DET","SP,RP","7.7","6","0","0","4.57","1.41","4","7","4","1","3","1","0","0","1%"
"DJ Herz","WSH","SP","27.4","30","2","0","4.07","1.34","12","23","13","3","19","2","2","0","0%"
"Shane Drohan","MIL","SP,RP","36.7","37","2","0","4.10","1.32","17","33","16","5","23","3","2","0","1%"
"Colin Selby","BAL","RP","38.4","40","2","0","4.00","1.32","17","34","16","4","37","0","2","0","0%"
"Tyler Phillips","MIA","RP","67.1","50","3","2","4.39","1.37","33","69","23","8","59","0","3","0","2%"
"Justin Bruihl","STL","RP","49.5","45","3","0","4.03","1.33","22","47","19","5","50","0","3","0","0%"
"Craig Kimbrel","NYM","RP","18.8","21","1","0","4.15","1.33","9","15","10","3","20","0","1","0","0%"
"Ryan Borucki","SF","RP","42.3","41","2","0","3.93","1.32","18","38","17","5","43","0","2","0","0%"
"Porter Hodge","CHC","RP","32.1","35","2","0","4.11","1.38","15","27","17","4","31","0","2","0","0%"
"Daniel Espino","CLE","SP","18.8","19","1","0","4.26","1.39","9","17","9","3","15","1","1","0","0%"
"Ian Hamilton","ATL","RP","26.2","28","1","0","3.99","1.35","12","23","12","3","25","0","1","0","0%"
"Marcus Stroman","","SP","59.0","43","4","0","4.53","1.43","30","61","24","6","13","11","4","0","0%"
"Chase Petty","CIN","SP","43.0","33","2","0","5.13","1.51","25","46","19","7","26","4","3","0","1%"
"Jason Foley","SF","RP","22.2","18","1","0","3.59","1.25","9","22","6","2","23","0","1","0","0%"
"Justin Wilson","","RP","33.5","35","2","0","3.91","1.27","15","30","12","4","34","0","2","0","0%"
"Carlos Vargas","SEA","RP","55.8","43","3","0","4.10","1.33","25","55","20","6","55","0","3","0","0%"
"Hayden Wesneski","HOU","SP","25.7","24","2","0","4.20","1.24","12","24","8","4","17","2","1","0","0%"
"Lucas Braun","ATL","SP","7.8","7","1","0","4.05","1.22","4","7","3","1","2","2","0","0","0%"
"Sam Moll","CIN","RP","46.0","45","2","0","4.21","1.35","21","42","20","5","48","0","2","0","0%"
"Coleman Crow","MIL","SP","19.3","20","1","0","3.73","1.20","8","17","6","2","16","1","1","0","1%"
"Brent Suter","LAA","SP,RP","63.5","50","3","0","4.39","1.32","31","65","19","9","59","0","3","0","0%"
"Daniel Lynch","KC","RP","59.1","45","3","0","4.36","1.34","29","60","19","8","53","0","3","0","3%"
"Andrew Hoffmann","ARI","RP","51.7","47","3","0","4.28","1.37","25","51","20","6","47","0","3","0","0%"
"Bailey Falter","KC","SP","69.3","50","4","0","4.68","1.35","36","70","23","11","41","5","4","0","0%"
"Yariel Rodriguez","TOR","RP","31.2","30","1","0","4.09","1.34","14","27","15","4","30","0","2","0","0%"
"Andrew Chafin","","RP","35.8","39","2","0","4.09","1.39","16","32","18","4","37","0","2","0","0%"
"Cionel Perez","","RP","53.1","45","2","2","4.37","1.49","26","51","28","5","53","0","2","0","0%"
"Matt Pushard","STL","RP","51.0","45","3","0","4.24","1.35","24","49","20","7","49","0","3","0","0%"
"Jose Fermin","LAA","RP","37.4","40","2","0","4.37","1.37","18","33","19","6","38","0","2","0","0%"
"Alex Lange","KC","RP","46.7","49","3","0","4.07","1.41","21","41","25","4","47","0","2","0","0%"
"Luis Perales","WSH","SP,RP","19.8","20","1","0","4.24","1.41","9","18","10","2","18","0","1","0","0%"
"Nick Raquet","BAL","RP","28.5","23","2","0","4.30","1.37","14","29","10","3","27","0","2","0","0%"
"Zack Kelly","BOS","SP,RP","54.9","53","3","0","4.33","1.38","26","50","26","7","52","0","3","0","0%"
"Ron Marinaccio","SD","RP","39.7","39","2","0","4.36","1.35","19","36","18","5","38","0","2","0","0%"
"Brady Basso","ATH","RP","32.4","29","2","0","4.16","1.31","15","31","11","4","29","0","1","0","0%"
"Kyle Hurt","LAD","RP","39.3","42","2","0","4.27","1.38","19","36","18","5","21","4","2","0","1%"
"Connor Prielipp","MIN","SP","46.8","44","2","0","4.16","1.35","22","45","18","5","30","4","2","0","12%"
"Kohl Drake","ARI","SP","15.6","13","1","0","4.51","1.39","8","16","6","2","4","3","1","0","0%"
"Chris Murphy","CWS","RP","50.9","46","2","0","4.29","1.39","24","47","24","6","44","0","3","0","0%"
"Jaden Hill","COL","RP","37.7","38","2","0","4.35","1.36","18","37","15","4","37","0","2","0","1%"
"Bryan Hudson","CWS","RP","33.4","33","2","0","3.92","1.31","15","29","14","4","32","0","2","0","1%"
"Nate Pearson","HOU","RP","45.2","45","2","0","4.39","1.36","22","41","20","6","43","0","2","0","0%"
"Mitch Bratt","ARI","SP","13.6","10","1","0","4.38","1.29","7","14","3","2","4","3","1","0","0%"
"Keider Montero","DET","SP,RP","53.8","45","3","0","4.53","1.35","27","54","19","8","26","4","3","0","10%"
"Gordon Graceffo","STL","RP","52.5","42","2","0","4.37","1.35","26","54","17","6","44","0","3","0","0%"
"Tyler Ferguson","CHC","RP","47.1","47","2","0","4.27","1.38","22","42","23","5","46","0","3","0","0%"
"Kyle Hart","SD","SP,RP","43.7","38","2","0","4.40","1.33","21","42","16","6","36","1","2","0","0%"
"Ryan Watson","BOS","SP,RP","28.2","24","2","0","4.33","1.35","14","28","10","3","28","0","1","0","0%"
"Brandyn Garcia","ARI","RP","42.7","38","2","0","4.16","1.44","20","42","20","4","42","0","3","0","0%"
"Jackson Rutledge","PHI","SP,RP","45.7","39","2","1","4.74","1.40","24","45","19","7","42","0","2","0","0%"
"Chase Lee","TOR","RP","25.6","25","1","0","4.03","1.26","11","24","8","4","24","0","1","0","0%"
"Joe Jimenez","ATL","RP","22.1","26","1","0","3.68","1.17","9","19","7","2","22","0","1","0","0%"
"Josh Simpson","SEA","RP","23.2","24","1","0","4.16","1.39","11","20","12","3","24","0","1","0","0%"
"Brennan Bernardino","COL","SP,RP","55.7","50","3","0","4.50","1.45","28","56","25","6","57","0","3","0","0%"
"Gregory Santos","SF","RP","31.5","28","2","0","3.90","1.39","14","30","13","2","30","0","1","0","0%"
"Triston McKenzie","SD","SP,RP","9.7","9","1","0","4.82","1.44","5","9","5","2","9","0","1","0","0%"
"Dylan Dodd","ATL","RP","40.3","35","2","0","4.20","1.28","19","41","11","6","37","0","2","0","0%"
"Cody Laweryson","MIN","RP","39.2","34","2","0","4.37","1.34","19","39","14","5","36","0","2","0","0%"
"Tommy Kahnle","BOS","RP","43.2","38","2","1","4.44","1.42","21","41","21","5","45","0","2","0","0%"
"Ryan Lambert","NYM","RP","27.9","32","1","0","4.06","1.35","13","23","14","3","28","0","2","0","0%"
"Yosver Zulueta","SEA","RP","30.7","32","2","0","3.81","1.33","13","26","15","3","29","0","1","0","0%"
"Luke Jackson","","RP","38.9","35","2","3","4.44","1.40","19","36","18","4","38","0","3","0","0%"
"Mike Clevinger","PIT","RP","38.0","30","2","0","4.72","1.40","20","39","14","6","34","1","2","0","0%"
"Yaramil Hiraldo","BAL","RP","34.0","36","2","0","4.13","1.26","16","31","12","5","33","0","1","0","0%"
"Codi Heuer","CLE","RP","24.7","25","1","0","3.92","1.30","11","22","9","3","22","0","1","0","0%"
"Griff McGarry","LAD","SP","25.8","29","1","0","4.24","1.44","12","21","16","3","22","0","1","0","0%"
"Ryan Gusto","MIA","SP,RP","45.4","39","2","0","4.55","1.37","23","46","16","6","27","4","3","0","0%"
"Travis Sykora","WSH","SP","16.5","17","1","0","4.91","1.58","9","16","11","2","16","1","1","0","1%"
"Rico Garcia","BAL","RP","51.5","53","2","0","4.44","1.36","25","47","23","8","49","0","2","0","33%"
"Garrett Hawkins","SD","RP","25.8","26","2","0","4.17","1.32","12","23","11","4","26","0","2","0","0%"
"Travis Adams","MIN","SP,RP","52.4","42","3","0","4.58","1.38","27","54","19","7","35","2","3","0","0%"
"Ty Johnson","TB","SP,RP","11.5","12","1","0","4.09","1.25","5","10","4","1","2","2","1","0","0%"
"Steven Cruz","KC","RP","40.9","37","2","0","4.19","1.34","19","37","18","4","41","0","2","0","0%"
"Richard Lovelady","WSH","RP","34.6","31","2","0","4.09","1.29","16","33","12","4","34","0","2","0","0%"
"Justin Hagenman","NYM","RP","22.3","20","1","0","4.13","1.22","10","22","6","3","19","0","1","0","0%"
"Martin Perez","ATL","SP","26.2","20","1","0","4.62","1.40","13","27","10","3","5","5","1","0","10%"
"Easton McGee","MIL","RP","34.0","29","2","0","4.08","1.28","15","33","11","4","31","0","1","0","0%"
"Brandan Bidois","PIT","RP","48.1","45","2","0","4.51","1.43","24","45","24","6","46","0","3","0","0%"
"Anthony Nunez","BAL","RP","21.4","23","2","0","3.92","1.30","9","19","9","2","21","0","1","0","2%"
"Tanner Gordon","COL","SP,RP","53.4","39","2","0","5.30","1.42","31","63","13","10","21","7","4","0","0%"
"Luke Little","CHC","RP","21.0","24","1","0","3.67","1.38","9","16","13","2","22","0","1","0","0%"
"Tristan Beck","SF","RP","28.1","24","1","0","4.09","1.27","13","27","9","3","22","0","1","0","0%"
"Ronel Blanco","HOU","SP","20.7","21","1","0","4.26","1.30","10","18","8","3","10","2","1","0","0%"
"Evan Sisk","PIT","RP","36.5","36","2","0","3.89","1.36","16","34","16","3","37","0","2","0","0%"
"Kyle Backhus","PHI","RP","45.5","44","2","0","4.32","1.35","22","43","19","6","47","0","3","0","0%"
"Juan Morillo","ARI","RP","45.8","42","2","0","4.31","1.48","22","44","24","5","47","0","2","0","9%"
"Konnor Pilkington","DET","RP","18.2","19","1","0","4.50","1.46","9","16","11","2","19","0","1","0","0%"
"Andrew Walters","CLE","RP","30.6","36","2","0","4.10","1.34","14","25","15","4","31","0","2","0","0%"
"Connor Brogdon","CLE","RP","50.6","51","2","0","4.52","1.35","25","48","21","8","49","0","3","0","0%"
"Ethan Roberts","CHC","RP","35.9","36","2","0","4.28","1.33","17","33","15","5","35","0","2","0","0%"
"Bobby Miller","LAD","SP","21.0","19","1","0","4.64","1.41","11","20","10","3","17","0","1","0","0%"
"Colton Gordon","HOU","SP,RP","30.3","25","1","0","4.41","1.30","15","31","9","5","22","1","1","0","0%"
"Nestor Cortes Jr.","","SP","32.4","29","2","0","4.49","1.28","16","31","11","6","6","6","2","0","0%"
"Grant Wolfram","BAL","RP","41.7","40","2","0","4.16","1.38","19","39","18","5","40","0","2","0","0%"
"Ethan Pecko","HOU","SP","10.9","10","1","0","4.13","1.38","5","10","6","2","3","3","1","0","0%"
"James McArthur","KC","RP","25.0","23","1","0","4.18","1.30","12","25","8","3","24","0","1","0","0%"
"Gunnar Hoglund","ATH","SP","44.8","34","2","0","4.90","1.36","24","47","14","8","22","5","3","0","0%"
"Steven Wilson","TB","RP","44.3","43","2","0","4.67","1.34","23","40","20","7","45","0","2","0","0%"
"Manuel Rodriguez","TB","RP","15.3","14","1","0","3.70","1.24","6","14","5","1","15","0","1","0","0%"
"Zak Kent","WSH","RP","45.3","44","2","0","4.28","1.39","22","42","21","5","42","0","2","0","0%"
"Andrew Morris","MIN","SP,RP","20.9","17","1","0","4.21","1.29","10","21","6","3","18","0","1","0","0%"
"Ryan Feltner","COL","SP","107.4","86","4","0","5.16","1.51","62","116","46","15","26","19","7","0","0%"
"Miguel Ullola","HOU","SP,RP","10.8","12","1","0","3.94","1.32","5","8","6","1","9","0","1","0","0%"
"Luis Gastelum","STL","RP","23.5","22","1","0","3.94","1.28","10","22","8","3","23","0","1","0","0%"
"Cristian Mena","ARI","SP,RP","19.5","18","1","0","4.17","1.34","9","19","8","2","12","2","1","0","0%"
"Tink Hence","STL","SP","13.9","13","1","0","4.18","1.36","6","13","6","2","5","2","1","0","0%"
"Zach Maxwell","CIN","RP","36.6","38","2","0","4.63","1.48","19","33","21","5","35","0","2","0","0%"
"David Davalillo","TEX","SP","16.3","15","1","0","3.86","1.23","7","14","7","2","4","4","1","1","0%"
"Dylan Smith","SF","RP","22.5","20","1","0","4.14","1.34","10","21","10","3","20","0","1","0","0%"
"Jason Alexander","HOU","SP,RP","44.2","34","2","0","4.63","1.40","23","46","16","6","20","5","2","0","0%"
"Yerry De los Santos","NYY","RP","37.4","30","2","0","4.13","1.35","17","36","14","4","35","0","2","0","0%"
"Ben Hess","NYY","SP","9.3","8","1","0","4.34","1.39","5","9","5","2","2","2","1","0","0%"
"Drew Thorpe","CWS","SP","41.3","32","2","0","4.73","1.37","22","42","15","6","9","7","3","0","0%"
"Reiver Sanmartin","SF","RP","24.2","18","1","0","4.10","1.37","11","25","8","2","23","0","1","0","0%"
"Karson Milbrandt","MIA","SP","11.8","10","0","0","4.67","1.50","6","12","6","2","12","0","1","0","0%"
"Nick Sandlin","DET","RP","40.1","41","2","0","4.37","1.33","19","35","18","6","41","0","2","0","0%"
"John Brebbia","MIN","RP","33.8","33","2","0","5.00","1.41","19","35","12","6","34","0","2","0","0%"
"Kervin Castro","NYY","RP","28.7","27","2","0","4.32","1.35","14","26","13","3","28","0","2","0","0%"
"Bowden Francis","TOR","SP","22.0","20","1","0","4.51","1.28","11","21","8","5","5","5","1","0","0%"
"Philip Abner","ARI","RP","27.9","26","1","0","4.23","1.36","13","27","11","3","29","0","1","0","0%"
"Luis Mey","CIN","RP","33.9","32","2","0","4.63","1.54","17","31","21","4","34","0","2","0","0%"
"Jose Corniell","TEX","SP,RP","19.4","18","1","0","3.66","1.17","8","16","6","2","15","0","1","0","0%"
"Emiliano Teodo","TEX","RP","15.9","16","1","0","4.63","1.54","8","14","11","2","16","0","1","0","0%"
"Kyle Nicolas","CIN","RP","39.0","40","2","0","4.28","1.41","19","36","19","5","37","0","2","0","0%"
"Kendry Rojas","MIN","SP","33.0","29","2","0","4.29","1.39","16","33","13","4","26","2","2","0","1%"
"Peyton Gray","TEX","RP","26.8","26","2","0","4.23","1.31","13","25","10","4","26","0","2","0","0%"
"Tony Gonsolin","","SP","16.4","16","1","0","4.65","1.35","8","15","7","3","3","3","1","0","0%"
"Tyler Gilbert","CWS","SP,RP","41.1","37","2","0","4.41","1.35","20","40","16","6","39","0","2","0","0%"
"Hunter Stratton","ATL","RP","23.5","22","1","0","4.19","1.31","11","22","8","3","23","0","1","0","0%"
"Michael Fulmer","SF","RP","13.6","14","1","0","4.04","1.30","6","12","6","2","13","0","1","0","0%"
"George Soriano","STL","RP","47.1","44","2","0","4.42","1.36","23","45","19","6","42","0","2","0","2%"
"Roddery Munoz","HOU","RP","51.5","52","3","0","4.61","1.39","26","47","24","8","44","0","3","0","0%"
"Kaleb Ort","LAA","RP","40.9","42","2","0","4.76","1.41","22","37","21","7","40","0","2","0","0%"
"Peyton Pallette","CLE","RP","45.5","44","2","0","4.52","1.38","23","43","20","6","43","0","2","0","0%"
"Zach McCambley","MIA","SP,RP","28.8","29","1","0","4.41","1.35","14","27","12","4","27","0","1","0","0%"
"Chad Green","","RP","31.9","28","2","0","4.55","1.32","16","32","11","5","32","0","2","0","0%"
"Paxton Schultz","WSH","RP","38.4","35","2","0","4.44","1.36","19","37","15","5","34","0","2","0","0%"
"Spencer Miles","TOR","SP,RP","21.3","20","1","0","4.42","1.36","10","20","9","3","21","0","1","0","1%"
"Carlos Rodriguez","MIL","RP","31.5","29","1","0","4.37","1.31","15","29","13","5","24","2","2","0","0%"
"RJ Petit","COL","RP","21.0","20","1","0","4.08","1.39","10","20","9","2","21","0","2","0","0%"
"Troy Taylor","SEA","RP","23.4","22","1","0","4.40","1.41","11","22","11","3","24","0","1","0","0%"
"Daysbel Hernandez","ATL","RP","27.6","29","1","0","4.32","1.44","13","24","16","3","27","0","2","0","0%"
"J.P. France","HOU","SP,RP","15.6","13","1","0","4.70","1.53","8","15","9","2","6","2","1","0","0%"
"Eduarniel Nunez","BAL","RP","36.4","37","2","0","4.43","1.48","18","33","21","4","35","0","2","0","0%"
"Jesse Scholtens","TB","SP,RP","32.4","29","1","0","4.41","1.32","16","32","11","5","27","0","2","0","4%"
"Michael Tonkin","","RP","25.9","24","1","0","4.74","1.32","14","25","10","4","20","0","1","0","0%"
"Beau Brieske","DET","RP","44.7","39","2","0","4.55","1.38","23","42","19","6","42","0","2","0","0%"
"Max Lazar","PHI","RP","34.3","27","2","0","4.40","1.32","17","34","11","5","32","0","2","0","0%"
"Brycen Mautz","STL","SP","15.9","14","1","0","4.20","1.32","7","15","5","2","14","0","1","0","0%"
"Joe Mantiply","TOR","RP","13.6","12","1","0","4.20","1.29","6","14","4","2","14","0","1","0","0%"
"Sammy Peralta","COL","RP","14.8","13","1","0","4.34","1.31","7","14","5","2","12","0","1","0","0%"
"John King","MIA","RP","50.0","32","2","0","4.12","1.39","23","55","15","5","49","0","2","0","1%"
"John Klein","MIN","SP,RP","32.4","28","2","0","4.64","1.36","17","32","12","4","25","2","2","0","0%"
"Grant Holman","PHI","RP","17.9","15","1","0","4.36","1.38","9","17","7","2","18","0","1","0","0%"
"Jedixson Paez","BOS","SP","44.8","35","2","0","4.42","1.32","22","46","13","6","41","0","2","0","0%"
"Nick Burdi","","RP","12.1","14","1","0","3.55","1.33","5","9","7","1","12","0","1","0","0%"
"Robinson Ortiz","SEA","SP,RP","28.7","27","2","0","4.17","1.40","13","25","15","3","29","0","2","0","0%"
"Jhony Brito","SD","RP","18.8","15","1","0","4.22","1.32","9","19","6","2","17","0","1","0","0%"
"Franco Aleman","CLE","RP","19.3","22","1","0","4.16","1.38","9","17","10","2","19","0","1","0","0%"
"Trent Thornton","CHC","RP","24.6","21","1","0","4.27","1.29","12","24","8","3","23","0","1","0","0%"
"Albert Suarez","BAL","SP,RP","21.5","18","1","0","4.57","1.36","11","22","7","3","18","0","1","0","0%"
"Zach Pop","PHI","RP","31.0","25","2","0","4.53","1.40","16","32","12","4","32","0","2","0","0%"
"Dylan Ross","NYM","RP","25.9","28","1","0","4.00","1.36","11","22","13","3","26","0","1","0","0%"
"Jose Castillo","","RP","21.0","22","2","0","3.64","1.31","9","19","9","2","19","0","1","0","0%"
"Joey Lucchesi","LAA","RP","29.2","22","1","0","4.27","1.39","14","29","11","3","26","0","1","0","0%"
"Luis Curvelo","TEX","RP","40.2","36","2","0","4.52","1.35","20","37","17","6","39","0","2","0","0%"
"Ty Adcock","SD","RP","24.8","23","1","0","4.47","1.34","12","24","10","4","24","0","1","0","0%"
"Alex Carrillo","NYM","RP","20.9","23","1","0","4.34","1.36","10","18","11","3","19","0","1","0","0%"
"Jorge Lopez","","RP","26.7","22","1","0","4.62","1.35","14","27","9","4","27","0","1","0","0%"
"Michel Otanez","TEX","RP","17.9","22","1","0","4.23","1.44","8","15","11","2","18","0","1","0","0%"
"Bailey Horn","DET","RP","30.4","28","2","0","4.37","1.43","15","29","15","4","30","0","2","0","0%"
"Tim Mayza","PHI","RP","34.4","29","2","0","4.14","1.35","16","35","12","4","35","0","1","0","0%"
"Lazaro Estrada","TOR","SP,RP","23.9","21","1","0","4.58","1.29","12","23","8","4","21","0","1","0","0%"
"Paul Gervase","LAD","RP","26.0","28","2","0","4.57","1.38","13","23","13","4","25","0","1","0","0%"
"Sean Guenther","DET","RP","15.8","12","1","0","3.87","1.30","7","15","5","2","15","0","1","0","0%"
"Pedro Avila","CLE","RP","22.8","21","1","0","4.50","1.41","11","22","10","2","18","0","1","0","0%"
"Chase Shugart","PHI","RP","35.0","29","2","0","4.58","1.38","18","34","14","5","32","0","2","0","0%"
"Danny Young","ATL","RP","16.4","17","1","0","3.89","1.34","7","14","7","2","17","0","1","0","0%"
"Evan Reifert","TB","RP","10.2","11","1","0","4.07","1.38","5","9","5","1","10","0","1","0","0%"
"Jhancarlos Lara","ATL","SP,RP","12.2","14","1","0","4.33","1.47","6","11","7","1","12","0","1","0","0%"
"Wikelman Gonzalez","CWS","SP,RP","42.7","42","2","0","4.73","1.50","22","38","26","5","39","0","2","0","0%"
"Keegan Thompson","COL","RP","47.3","46","2","0","4.76","1.43","25","47","21","7","42","0","3","0","0%"
"Trevor Stephan","CLE","RP","17.0","16","1","0","4.32","1.33","8","16","7","2","17","0","1","0","0%"
"Derek Law","ARI","RP","19.1","16","1","0","4.28","1.36","9","19","7","2","19","0","1","0","0%"
"Mason Barnett","ATH","SP","29.2","25","1","0","4.81","1.43","16","29","12","4","18","3","1","0","0%"
"Chris Roycroft","STL","RP","45.5","37","2","0","4.39","1.46","22","45","21","5","43","0","3","0","0%"
"Peter Lambert","HOU","SP,RP","14.7","14","1","0","4.49","1.37","7","14","6","2","12","0","1","0","23%"
"James Karinchak","ATL","RP","25.5","30","1","0","4.33","1.39","12","21","14","4","25","0","1","0","0%"
"Tyler Samaniego","BOS","RP","25.9","22","2","0","4.39","1.42","13","26","11","3","25","0","2","0","0%"
"Kolby Allard","CLE","SP,RP","22.9","17","1","0","4.60","1.37","12","24","7","3","19","0","1","0","0%"
"Colin Poche","","RP","17.7","16","1","0","4.67","1.41","9","16","9","3","19","0","1","0","0%"
"Alek Jacob","SD","RP","32.4","29","1","0","4.82","1.42","17","32","14","5","30","0","2","0","0%"
"Cade Winquest","STL","SP","30.7","25","1","0","4.71","1.40","16","31","12","4","28","0","2","0","0%"
"Scott Alexander","","RP","25.7","17","1","0","4.37","1.38","12","27","9","3","29","0","2","0","0%"
"Domingo Gonzalez","SEA","RP","17.2","16","1","0","4.37","1.37","8","16","8","2","17","0","1","0","0%"
"Josh Walker","BAL","RP","30.1","33","2","0","4.79","1.46","16","28","16","5","26","0","2","0","0%"
"Cameron Foster","BAL","RP","25.9","23","2","0","4.52","1.39","13","26","10","4","25","0","2","0","0%"
"Brandon Walter","HOU","SP","5.6","5","0","0","3.98","1.12","2","5","1","1","1","1","0","0","0%"
"Riley Martin","CHC","RP","17.9","19","1","0","4.04","1.42","8","16","10","2","17","0","1","0","0%"
"Carson Seymour","SF","SP,RP","29.1","25","2","0","4.32","1.40","14","30","11","4","16","2","2","0","0%"
"Joel Kuhnel","ATH","RP","11.0","8","1","0","4.10","1.34","5","12","3","1","11","0","1","0","7%"
"Brandon Waddell","NYM","RP","16.4","14","1","0","4.80","1.44","9","17","7","3","7","0","1","0","0%"
"Joey Gerber","NYM","SP,RP","14.9","15","1","0","4.54","1.32","8","14","6","2","13","0","0","0","0%"
"Mason Black","KC","SP,RP","48.2","39","2","0","4.92","1.46","26","49","21","7","31","3","3","0","0%"
"AJ Smith-Shawver","ATL","SP","9.9","10","0","0","4.08","1.30","4","9","4","1","7","1","0","0","1%"
"Drew Sommers","DET","RP","19.8","17","1","0","3.92","1.36","9","19","8","2","20","0","1","0","0%"
"David Sandlin","CWS","SP,RP","19.7","17","1","0","4.46","1.33","10","19","7","3","20","0","1","0","0%"
"Cam Booser","TB","RP","18.0","20","1","0","4.41","1.42","9","17","9","3","19","0","1","0","0%"
"Taylor Rashi","ARI","RP","19.7","19","1","0","4.51","1.47","10","18","11","2","12","0","1","0","0%"
"Osvaldo Bido","CWS","SP,RP","20.9","19","1","0","4.66","1.39","11","20","9","3","15","0","1","0","0%"
"Austin Peterson","CLE","SP","29.3","21","1","0","4.66","1.31","15","31","8","5","15","3","2","0","0%"
"Cole Wilcox","SEA","RP","21.8","17","1","0","4.35","1.35","11","21","8","3","20","0","1","0","0%"
"Jonathan Pintaro","NYM","SP,RP","22.9","22","1","0","4.03","1.37","10","21","10","2","19","2","1","0","0%"
"Ryan Harbin","","RP","23.1","22","1","0","4.61","1.55","12","22","14","3","23","0","1","0","0%"
"Angel Bastardo","BOS","SP","16.7","16","1","0","4.30","1.38","8","15","8","2","13","1","1","0","0%"
"Ryan Burr","","SP,RP","11.0","16","1","0","3.68","1.23","5","9","5","1","12","0","1","0","0%"
"Rafael Montero","NYY","RP","29.7","28","1","0","4.45","1.40","15","27","15","4","30","0","1","0","0%"
"Tyson Neighbors","BAL","RP","16.8","17","1","0","4.22","1.32","8","14","8","2","17","0","1","0","0%"
"Tate Kuehner","MIL","SP","11.4","10","1","0","4.35","1.41","5","10","6","1","11","0","1","0","0%"
"Michael Grove","TB","RP","17.4","19","1","0","4.15","1.24","8","16","6","3","12","1","1","0","0%"
"John Rooney","TB","RP","17.5","21","1","0","3.85","1.37","8","14","11","2","13","0","1","0","0%"
"Brandon Young","BAL","SP","24.3","21","1","0","4.41","1.33","12","25","8","4","18","2","1","0","3%"
"Josh Winckowski","TOR","RP","18.1","16","1","0","3.73","1.27","8","18","6","2","12","1","1","0","0%"
"Jake Bennett","BOS","SP","19.6","15","1","0","4.58","1.38","10","20","7","2","18","0","1","0","1%"
"Michael Petersen","MIA","RP","37.1","36","2","0","4.39","1.35","18","35","15","5","36","0","2","0","0%"
"Tayler Saucedo","LAA","RP","24.5","22","1","0","4.33","1.43","12","24","11","3","25","0","1","0","0%"
"Joe Rock","CWS","SP,RP","19.0","15","1","0","4.41","1.35","9","19","6","3","11","2","1","0","0%"
"Nick Anderson","ATH","RP","41.0","37","2","1","4.68","1.40","21","41","16","7","40","0","2","0","0%"
"Angel Perdomo","","RP","7.7","9","0","0","4.61","1.40","4","6","4","1","7","0","0","0","0%"
"Angel Chivilli","NYY","RP","27.1","24","1","0","4.59","1.37","14","27","10","4","25","0","1","0","0%"
"Shane Murphy","CWS","RP","18.2","13","1","0","4.58","1.31","9","19","5","3","17","0","1","0","0%"
"Shawn Dubin","","RP","21.6","20","1","0","4.32","1.40","10","21","9","2","17","0","1","0","0%"
"Miguel Castro","LAA","RP","12.7","11","1","0","4.65","1.38","7","12","6","2","13","0","1","0","0%"
"Scott Effross","DET","RP","15.5","11","1","0","4.43","1.40","8","17","5","1","16","0","1","0","0%"
"Roansy Contreras","","SP,RP","33.4","24","2","0","4.98","1.47","19","35","14","6","22","1","2","0","0%"
"Nolan Hoffman","PHI","SP,RP","15.3","15","1","0","4.42","1.44","8","15","8","2","15","0","1","0","0%"
"Ronan Kopp","LAD","SP,RP","15.6","17","1","0","4.30","1.47","7","13","10","2","15","0","1","0","0%"
"Jorge Alcala","","RP","18.9","19","1","0","4.85","1.35","10","18","8","4","18","0","1","0","0%"
"Garrett Acton","MIN","RP","20.0","20","1","0","4.55","1.35","10","18","9","3","20","0","1","0","0%"
"Duncan Davitt","CWS","SP","21.0","17","1","0","4.58","1.35","11","22","7","3","19","0","1","0","0%"
"Ty Madden","DET","RP","20.9","19","1","0","4.60","1.38","11","20","9","3","13","2","1","0","1%"
