"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Rost%"
"Jakob Junis","TEX","RP","63.0","54","3","0","4.06","1.21","28","60","16","8","57","0","3","0","10%"
"Kody Funderburk","MIN","RP","60.9","58","3","3","3.88","1.34","26","57","25","5","58","0","3","0","0%"
"Trevor McDonald","SF","SP,RP","69.8","54","4","0","4.35","1.37","34","71","25","8","26","9","4","0","15%"
"Christian Scott","NYM","SP","33.1","31","2","0","4.05","1.22","15","31","10","5","19","3","2","0","10%"
"Andrew Nardi","MIA","RP","53.8","65","3","0","3.72","1.22","22","45","21","6","55","0","3","0","0%"
"Jose Urquidy","PIT","RP","69.1","52","3","0","4.83","1.35","37","71","22","11","27","9","4","0","0%"
"Caleb Thielbar","CHC","RP","61.8","64","4","1","3.68","1.19","25","53","20","8","65","0","3","0","2%"
"Erik Miller","SF","RP","59.2","64","3","2","3.65","1.35","24","49","31","5","60","0","3","0","3%"
"JP Sears","SD","SP","48.9","41","3","0","4.57","1.27","25","48","14","9","20","6","3","0","0%"
"Quinn Mathews","STL","SP","40.2","37","2","0","4.50","1.51","20","37","23","4","8","8","3","0","1%"
"Justin Slaten","BOS","RP","59.6","56","4","1","3.92","1.26","26","55","20","7","57","0","3","0","1%"
"Erik Sabrowski","CLE","RP","59.0","72","3","1","3.91","1.36","26","47","34","6","58","0","3","0","26%"
"Clarke Schmidt","NYY","SP","28.0","26","2","0","3.95","1.24","12","25","10","4","12","4","1","0","1%"
"Ryan Johnson","LAA","RP","55.6","51","3","0","4.34","1.34","27","56","18","8","26","7","3","0","0%"
"Patrick Sandoval","BOS","SP","77.6","71","4","0","4.11","1.39","35","75","33","8","38","9","4","0","0%"
"Carlos Lagrange","NYY","SP","10.7","11","1","0","4.21","1.43","5","9","6","1","9","1","1","0","3%"
"Isaac Mattson","PIT","RP","62.0","60","3","2","4.25","1.36","29","56","28","8","59","0","3","0","1%"
"Anthony Bender","MIA","RP","58.7","55","3","1","3.93","1.30","26","54","23","6","60","0","3","0","1%"
"Steven Okert","HOU","RP","62.7","71","3","0","3.85","1.19","27","52","23","9","64","0","3","0","1%"
"Josiah Gray","WSH","SP","96.2","83","5","0","4.90","1.40","52","95","40","16","18","18","7","0","0%"
"Tyler Anderson","","SP","79.5","62","4","0","4.86","1.42","43","81","32","13","16","14","6","0","0%"
"Jake Irvin","WSH","SP","121.9","89","6","0","4.85","1.36","66","126","40","20","31","19","8","0","2%"
"Angel Zerpa","MIL","RP","59.7","55","3","0","3.66","1.26","24","55","20","6","60","0","3","0","0%"
"Jack Perkins","ATH","SP,RP","43.9","42","2","0","3.93","1.28","19","38","18","5","26","3","2","0","7%"
"J.T. Ginn","ATH","SP,RP","73.0","68","4","0","4.24","1.32","34","70","26","9","29","10","4","0","28%"
"Brooks Raley","NYM","RP","56.4","56","3","1","3.77","1.22","24","49","20","6","59","0","3","0","2%"
"Blake Treinen","LAD","RP","52.9","59","4","0","3.87","1.26","23","46","20","7","54","0","3","0","1%"
"Tyler Kinley","ATL","RP","62.0","67","3","0","4.09","1.29","28","54","26","8","63","0","3","0","1%"
"Liam Hendriks","CHC","RP","28.4","29","2","1","4.23","1.31","13","26","11","4","28","0","2","0","0%"
"Aaron Bummer","","RP","59.7","61","3","0","3.65","1.30","24","55","22","4","57","0","2","0","0%"
"Jordan Montgomery","TEX","SP","47.6","37","3","0","4.46","1.34","24","49","15","6","15","7","3","0","0%"
"Connor Phillips","CIN","RP","56.9","60","3","1","4.56","1.40","29","50","29","8","51","0","3","0","0%"
"Cole Winn","TEX","RP","63.1","54","3","4","4.36","1.38","31","58","29","8","56","0","3","0","1%"
"Bennett Sousa","HOU","RP","40.0","43","2","1","3.58","1.19","16","34","14","5","38","0","2","0","0%"
"Sean Newcomb","CWS","SP,RP","67.9","64","3","1","4.01","1.35","30","63","28","7","55","1","3","0","1%"
"Patrick Corbin","TOR","SP","76.7","61","4","0","4.85","1.42","41","83","26","12","16","14","5","0","2%"
"Gus Varland","WSH","RP","27.3","26","1","0","4.42","1.38","13","27","11","3","27","0","1","0","7%"
"Alex Cobb","","SP","32.1","27","2","0","4.12","1.32","15","31","11","3","8","5","2","0","0%"
"Wade Miley","","SP","32.4","20","2","0","4.64","1.44","17","34","12","4","8","6","2","1","0%"
"Tanner Banks","PHI","RP","62.1","58","3","0","3.96","1.23","27","59","18","8","61","0","3","0","0%"
"Jose Butto","SF","SP,RP","63.9","58","3","2","4.06","1.33","29","58","27","7","58","0","3","0","0%"
"Austin Gomber","ATL","SP","19.4","14","1","0","4.69","1.31","10","20","5","3","6","3","2","0","0%"
"Yennier Cano","BAL","RP","58.5","54","3","1","3.82","1.31","25","55","21","6","61","0","3","0","1%"
"Chase Silseth","LAA","RP","56.0","54","3","0","4.34","1.39","27","51","27","7","49","0","3","0","0%"
"Jordan Hicks","CWS","SP,RP","61.5","56","3","1","4.19","1.39","29","58","27","6","56","0","4","0","0%"
"Cal Quantrill","TEX","SP,RP","16.5","13","1","0","5.07","1.40","9","17","6","3","5","3","1","0","0%"
"Jack Dreyer","LAD","SP,RP","52.4","51","3","0","3.84","1.24","22","46","19","6","51","0","2","0","2%"
"David Festa","MIN","SP","51.4","52","3","0","4.16","1.28","24","48","18","7","21","7","3","0","0%"
"Braydon Fisher","TOR","RP","50.9","57","3","0","3.81","1.28","22","42","23","6","51","0","2","0","1%"
"Justin Lawrence","PIT","RP","56.3","55","3","1","4.09","1.38","26","51","26","5","54","0","3","0","0%"
"Chris Flexen","","RP","24.9","19","1","0","4.69","1.42","13","27","9","4","12","1","2","0","0%"
"Cole Irvin","LAD","SP,RP","10.6","7","0","0","4.90","1.39","6","12","3","2","2","2","1","0","2%"
"Elmer Rodriguez","NYY","SP","8.9","8","0","0","4.05","1.36","4","9","3","1","6","1","0","0","2%"
"Ken Waldichuk","WSH","SP,RP","36.6","35","2","0","4.60","1.41","19","34","17","5","32","0","2","0","0%"
"Spencer Turnbull","","SP,RP","32.3","27","2","0","4.90","1.48","18","33","15","4","9","5","2","0","0%"
"PJ Poulin","WSH","SP,RP","56.5","55","3","2","4.03","1.34","25","52","24","6","57","0","3","0","1%"
"Austin Voth","TOR","RP","3.9","3","0","0","5.43","1.39","2","4","2","1","4","0","0","0","0%"
"Cade Gibson","MIA","RP","51.9","41","3","0","4.18","1.38","24","51","21","5","45","0","3","0","0%"
