dataset,method,mean_objective,mean_optimal_gap,max_optimal_gap,cases
yahoo_2026,ADP-aware ILP,7917.209126984128,0.0,0.0,252
yahoo_2026,Opportunity Cost Greedy,7767.732142857143,149.4769841269847,255.70000000000073,252
yahoo_2026,Direct Greedy,7662.86626984127,254.3428571428577,373.0000000000009,252
fangraph_2026,ADP-aware ILP,14642.926587301588,0.0,0.0,252
fangraph_2026,Opportunity Cost Greedy,14320.134523809524,322.79206349206567,508.0000000000018,252
fangraph_2026,Direct Greedy,14097.336904761903,545.589682539685,644.5000000000036,252
