scoring,season,team,strategy,objective,picks,status,remaining_slots
2026_fangraph,2026,2,OCG,12173.02,16,COMPLETE,
2026_fangraph,2026,1,OCG,12050.919999999998,16,COMPLETE,
2026_fangraph,2026,6,DG,11981.3,16,COMPLETE,
2026_fangraph,2026,3,OCG,11911.3,16,COMPLETE,
2026_fangraph,2026,4,OCG,11900.98,16,COMPLETE,
2026_fangraph,2026,5,OCG,11817.8,16,COMPLETE,
2026_fangraph,2026,7,OCG,11687.34,16,COMPLETE,
2026_fangraph,2026,12,OCG,11677.66,16,COMPLETE,
2026_fangraph,2026,8,OCG,11663.560000000001,16,COMPLETE,
2026_fangraph,2026,10,OCG,11642.96,16,COMPLETE,
2026_fangraph,2026,9,OCG,11622.4,16,COMPLETE,
2026_fangraph,2026,11,OCG,11590.52,16,COMPLETE,
